id,kraj,leto,cena,agencija,opis,nadstropja,povrsina_zemljisca,povrsina_hise,ima_klet,drzava
6387983,BODEŠČE,1800,265000,Zasebna ponudba,"300 m2, samostojna, zgrajena l. 1800, adaptirana l. 1950, 700 m2 zemljišča, K+P+1+M, Starejša kmečka hiša, 2.5km oddalje...",K+P+1+M,700,300,True,Slovenija
6439981,BOGOJINA,1960,44000,Dom M5 d.o.o.,"67,3 m2, samostojna, zgrajena l. 1960, 425 m2 zemljišča, K+P, prodamo. Cena: cca 44.000,00 EUR",K+P,425,67,True,Slovenija
6320190,BREZOVICA PRI LJUBLJANI,2007,420000,ABC nepremičnine d.o.o.,"495 m2, dvostanovanjska, zgrajena l. 2007, prodamo. Cena: 420.000,00 EUR",,,495,,Slovenija
6409203,CELJE,2021,315000,"Bfa skupina, d.o.o.","205 m2, samostojna, novogradnja, začetek gradnje l. 2021, 600 m2 zemljišča, P+1, Prodamosamostojno enodružinsko hišo v i...",P+1,600,205,False,Slovenija
6427182,ČRNA VAS,2016,390000,"MP PROJEKT, d.o.o., PE Ljubljana","100,2 m2, dvojček, zgrajen l. 2016, 262 m2 zemljišča, prodamo. Cena: 390.000,00 EUR",,262,100,,Slovenija
6415861,"DOB, DOMŽALE",2022,265000,Fundus RE d.o.o.,"109 m2, dvojček, zgrajen l. 2022, 300 m2 zemljišča, P+1, prodamo. Cena: 265.000,00 EUR",P+1,300,109,False,Slovenija
6287282,DOBRUNJE,2002,890000,ABC nepremičnine d.o.o.,"758,2 m2, samostojna, zgrajena l. 2002, 814 m2 zemljišča, prodamo. Cena: 890.000,00 EUR",,814,758,,Slovenija
6439455,"DOL PRI LJUBLJANI, VIDEM",2021,235000,MESTO NEPREMIČNIN d.o.o.,"113 m2, dvojček, zgrajen l. 2021, P+1, visoki stropi (2,70m), vsaj 3 parkirna mesta, III. pgf., prevzem v juniju 2021, p...",P+1,,113,False,Slovenija
6434167,DOLENJSKE TOPLICE,1977,300000,Premium nepremičnine d.o.o.,"437 m2, samostojna, zgrajena l. 1977, 1.825 m2 zemljišča, K+P+M, bližina Term Krka, prodamo. Cena: 300.000,00 EUR",K+P+M,1825,437,True,Slovenija
6435008,DOMŽALE,1980,390000,MESTO NEPREMIČNIN d.o.o.,"330 m2, samostojna, zgrajena l. 1980, 533 m2 zemljišča, K+P+M, prijetna hiša na mirni lokaciji z več parkirnimi mesti pr...",K+P+M,533,330,True,Slovenija
6403028,DRAGOČAJNA,2010,555000,K3 Kern d.o.o.,"307,5 m2, samostojna, zgrajena l. 2010, 664 m2 zemljišča, prodamo. Cena: 555.000,00 EUR",,664,307,,Slovenija
6341473,DRENOV GRIČ,2021,378000,Pikado d.o.o.,"155 m2, vrstna, zgrajena l. 2021, 275 m2 zemljišča, DVA NOVA NIZA Gradi se še 18 novih hiš v soseski Drenovo. Sodobno na...",,275,155,,Slovenija
6193477,GORENJA TREBUŠA,1987,120000,Renes d.o.o.,"589 m2, samostojna, zgrajena l. 1987, 7.537 m2 zemljišča, Kmetija: stanovanjska hiša uporabne površine 459 m2 pripadajoč...",,7537,589,,Slovenija
6413048,IZLAKE,1975,360000,Premium nepremičnine d.o.o.,"534 m2, samostojna, zgrajena l. 1975, adaptirana l. 2000, 963 m2 zemljišča, K+P+M, Možna menjava za stanovanje ali manjš...",K+P+M,963,534,True,Slovenija
6433312,"IZOLA, MALIJA",1900,320000,Obala nepremičnine d.o.o.,"120 m2, vrstna, zgrajena l. 1900, adaptirana l. 1997, 166 m2 zemljišča, P+1+2, Naprodaj je končna vrstna hiša v treh eta...",P+1+2,166,120,False,Slovenija
6431684,"KAMPEL, BRDA",1999,540000,Obala nepremičnine d.o.o.,"258 m2, samostojna, zgrajena l. 1999, 1.100 m2 zemljišča, Samostojna, svetla in prostorna hiša, z velikim dvosobnim stan...",,1100,258,,Slovenija
